T (s)	Lin	Ang	X	Y	yaw	dx	dy	v	wz
0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0202	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0214	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0323	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0435	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0508	0.2200	2.8400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0629	0.2200	2.8400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0727	0.2200	2.8400	-2.0387	-1.0605	0.0000	0.0001	0.0018	0.0018	0.0000
0.0807	0.2200	0.6556	-2.0387	-1.0605	1.3531	-0.0005	0.0015	0.0016	0.0000
0.0928	0.2200	0.6549	-2.0386	-1.0606	1.3535	0.0031	0.0004	0.0031	0.0000
0.1010	0.2200	0.6544	-2.0386	-1.0606	1.3535	0.0031	0.0004	0.0031	0.0000
0.1109	0.2200	0.6544	-2.0386	-1.0606	1.3535	0.0031	0.0004	0.0031	0.0000
0.1208	0.2200	0.6549	-2.0386	-1.0605	1.3533	-0.0011	0.0002	0.0011	0.0000
0.1316	0.2200	0.6549	-2.0386	-1.0605	1.3533	-0.0011	0.0002	0.0011	0.0000
0.1449	0.2200	0.6547	-2.0387	-1.0606	1.3534	-0.0009	-0.0011	0.0014	0.0000
0.1533	0.2200	0.6545	-2.0386	-1.0606	1.3531	0.0054	-0.0025	0.0059	0.0000
0.1614	0.2200	0.6555	-2.0386	-1.0606	1.3531	0.0054	-0.0025	0.0059	0.0000
0.1709	0.2200	0.6560	-2.0386	-1.0606	1.3530	0.0012	0.0018	0.0021	0.0000
0.1816	0.2200	0.6574	-2.0386	-1.0605	1.3525	-0.0008	0.0034	0.0035	0.0000
0.1909	0.2200	0.6580	-2.0386	-1.0603	1.3523	-0.0010	0.0181	0.0181	0.0000
0.2010	0.2200	0.6578	-2.0386	-1.0603	1.3523	-0.0010	0.0181	0.0181	0.0000
0.2109	0.2200	0.6580	-2.0386	-1.0598	1.3523	-0.0001	0.0292	0.0292	-0.0117
0.2208	0.2200	0.6580	-2.0386	-1.0598	1.3523	-0.0001	0.0292	0.0292	-0.0117
0.2309	0.2200	0.6553	-2.0387	-1.0589	1.3532	-0.0122	0.0505	0.0519	-0.0117
0.2407	0.2200	0.6599	-2.0386	-1.0585	1.3517	0.0044	0.0461	0.0463	-0.0234
0.2516	0.2200	0.6599	-2.0386	-1.0585	1.3517	0.0044	0.0461	0.0463	-0.0234
0.2608	0.2200	0.6617	-2.0388	-1.0572	1.3509	-0.0033	0.0617	0.0618	-0.0234
0.2710	0.2200	0.6644	-2.0386	-1.0566	1.3502	0.0185	0.0607	0.0634	-0.0138
0.2809	0.2200	0.6663	-2.0384	-1.0558	1.3497	0.0256	0.0740	0.0783	-0.0138
0.2924	0.2200	0.6663	-2.0384	-1.0558	1.3497	0.0256	0.0740	0.0783	-0.0724
0.3029	0.2200	0.6721	-2.0377	-1.0541	1.3474	0.0354	0.0851	0.0922	-0.0724
0.3108	0.2200	0.6743	-2.0377	-1.0541	1.3474	0.0359	0.0826	0.0901	-0.0724
0.3225	0.2200	0.6642	-2.0375	-1.0521	1.3508	0.0037	0.1328	0.1328	-0.0724
0.3309	0.2200	0.6640	-2.0375	-1.0508	1.3510	0.0037	0.1328	0.1328	-0.1256
0.3414	0.2200	0.6626	-2.0373	-1.0495	1.3516	0.0199	0.1312	0.1327	-0.1256
0.3508	0.2200	0.6689	-2.0371	-1.0485	1.3496	0.0193	0.1007	0.1025	-0.0979
0.3629	0.2200	0.6714	-2.0365	-1.0456	1.3470	0.0413	0.1439	0.1497	-0.0979
