T (s)	Lin	Ang	X	Y	yaw	dx	dy	v	wz
0.0001	0.2200	-2.8400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0198	0.2200	-2.8400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0207	0.2200	-2.8400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0329	0.2200	-2.8400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0408	0.2200	-2.8400	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0538	0.2200	-2.8400	-2.0348	0.1605	0.0000	0.0000	0.0000	0.0000	0.0000
0.0601	0.2200	2.8400	-2.0348	0.1605	1.6284	0.0000	0.0000	0.0000	0.0000
0.0735	0.2200	2.8400	-2.0349	0.1606	1.6285	-0.0016	-0.0010	0.0019	0.0000
0.0800	0.2200	2.8400	-2.0349	0.1606	1.6285	-0.0016	-0.0010	0.0019	0.0000
0.0900	0.2200	2.8400	-2.0349	0.1606	1.6286	0.0000	-0.0026	0.0026	0.0000
0.1001	0.2200	2.8400	-2.0349	0.1605	1.6282	0.0004	-0.0054	0.0054	0.0000
0.1101	0.2200	2.8400	-2.0348	0.1605	1.6274	0.0036	-0.0020	0.0041	0.0000
0.1202	0.2200	2.8400	-2.0348	0.1606	1.6265	0.0046	0.0065	0.0079	0.0000
0.1322	0.2200	2.8400	-2.0348	0.1609	1.6248	-0.0067	0.0169	0.0181	0.0000
0.1401	0.2200	2.8400	-2.0348	0.1609	1.6248	-0.0067	0.0169	0.0181	-0.0128
0.1502	0.2200	2.8400	-2.0348	0.1609	1.6248	-0.0067	0.0169	0.0181	-0.0319
0.1627	0.2200	2.8400	-2.0349	0.1620	1.6245	-0.0035	0.0472	0.0473	-0.0319
0.1701	0.2200	2.8400	-2.0349	0.1620	1.6245	-0.0035	0.0472	0.0473	-0.0319
0.1802	0.2200	2.8400	-2.0350	0.1625	1.6251	-0.0049	0.0556	0.0559	-0.0745
0.1902	0.2200	2.8400	-2.0350	0.1631	1.6267	0.0009	0.0509	0.0509	-0.0745
0.2001	0.2200	2.8400	-2.0349	0.1637	1.6288	0.0057	0.0636	0.0638	-0.0372
0.2101	0.2200	2.8400	-2.0348	0.1645	1.6322	0.0093	0.0842	0.0847	0.0128
0.2201	0.2200	2.8400	-2.0346	0.1654	1.6381	0.0258	0.0896	0.0933	0.1160
0.2302	0.2200	2.8400	-2.0346	0.1654	1.6381	0.0258	0.0896	0.0933	0.1160
0.2401	0.2200	2.8400	-2.0344	0.1667	1.6514	-0.0059	0.0600	0.0603	0.1639
0.2502	0.2200	2.8400	-2.0345	0.1675	1.6598	-0.0057	0.0755	0.0758	0.1639
0.2603	0.2200	2.8400	-2.0345	0.1682	1.6678	0.0021	0.0774	0.0774	0.2160
0.2703	0.2200	2.8400	-2.0342	0.1691	1.6771	0.0220	0.0889	0.0916	0.2895
0.2803	0.2200	2.8400	-2.0339	0.1703	1.6868	0.0298	0.1180	0.1217	0.3629
0.2908	0.2200	2.8400	-2.0337	0.1713	1.6953	0.0248	0.1028	0.1057	0.4565
0.3002	0.2200	2.8400	-2.0334	0.1724	1.7038	0.0333	0.1031	0.1084	0.5725
0.3101	0.2200	2.8400	-2.0331	0.1735	1.7150	0.0229	0.1139	0.1162	0.5725
0.3204	0.2200	2.8400	-2.0331	0.1735	1.7150	0.0229	0.1139	0.1162	0.7460
0.3302	0.2200	2.8400	-2.0333	0.1756	1.7377	-0.0003	0.1106	0.1106	0.8673
0.3406	0.2200	2.8400	-2.0332	0.1765	1.7483	0.0101	0.0911	0.0916	0.9748
0.3502	0.2200	2.8400	-2.0332	0.1765	1.7483	0.0101	0.0911	0.0916	1.0578
0.3603	0.2200	2.8400	-2.0325	0.1785	1.7699	0.0382	0.1094	0.1158	1.0578
0.3702	0.2200	2.8400	-2.0323	0.1798	1.7827	0.0152	0.1272	0.1281	1.0578
0.3802	0.2200	2.8400	-2.0323	0.1807	1.7930	0.0078	0.0945	0.0948	1.1366
0.3908	0.2200	2.8400	-2.0323	0.1814	1.8036	-0.0024	0.0687	0.0687	1.1398
0.4004	0.2200	2.8400	-2.0323	0.1824	1.8157	0.0027	0.0973	0.0973	1.1014
0.4107	0.2200	2.8400	-2.0323	0.1824	1.8157	0.0027	0.0973	0.0973	1.0642
0.4200	0.2200	2.8400	-2.0320	0.1847	1.8387	0.0074	0.1330	0.1332	1.0642
0.4303	0.2200	2.8400	-2.0319	0.1859	1.8489	0.0063	0.1187	0.1189	1.0642
0.4426	0.2200	2.8400	-2.0320	0.1881	1.8714	-0.0035	0.1128	0.1128	1.0887
0.4531	0.2200	2.8400	-2.0321	0.1888	1.8841	-0.0105	0.0679	0.0687	1.0993
0.4609	0.2200	2.8400	-2.0321	0.1888	1.8841	-0.0105	0.0679	0.0687	1.0780
0.4732	0.2200	2.8400	-2.0321	0.1910	1.9086	-0.0026	0.1233	0.1233	1.0812
0.4808	0.2200	2.8400	-2.0321	0.1910	1.9086	-0.0026	0.1233	0.1233	1.0812
0.4906	0.2200	2.8400	-2.0321	0.1921	1.9191	0.0057	0.1188	0.1189	1.0812
0.5018	0.2200	2.8400	-2.0321	0.1921	1.9191	0.0057	0.1188	0.1189	1.1706
0.5105	0.2200	2.8400	-2.0320	0.1941	1.9415	-0.0041	0.0878	0.0879	1.1706
0.5202	0.2200	2.8400	-2.0322	0.1951	1.9559	-0.0151	0.0959	0.0971	1.1706
0.5311	0.2200	2.8400	-2.0323	0.1962	1.9692	-0.0092	0.1125	0.1129	1.1674
0.5403	0.2200	2.8400	-2.0322	0.1971	1.9807	0.0040	0.0930	0.0931	1.1483
0.5504	0.2200	2.8400	-2.0323	0.1984	1.9934	-0.0029	0.1260	0.1260	1.2238
0.5618	0.2200	2.8400	-2.0324	0.1996	2.0075	-0.0162	0.1193	0.1204	1.2909
