T (s)	Lin	Ang	X	Y	yaw	dx	dy	v	wz
0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0136	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0311	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0433	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0525	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0606	0.0000	0.0000	-1.9501	1.4256	1.4690	0.0000	0.0000	0.0000	0.0000
0.0708	0.0000	0.0000	-1.9501	1.4256	1.4690	-0.0002	-0.0010	0.0010	0.0000
0.0806	0.0000	0.0000	-1.9501	1.4256	1.4691	-0.0045	-0.0031	0.0055	0.0000
0.0909	0.0000	0.0000	-1.9501	1.4256	1.4693	0.0042	-0.0002	0.0042	0.0000
0.1010	0.0000	0.0000	-1.9501	1.4256	1.4690	-0.0014	0.0008	0.0016	0.0000
0.1117	0.0000	0.0000	-1.9501	1.4256	1.4692	0.0005	0.0028	0.0028	0.0000
0.1223	0.0000	0.0000	-1.9501	1.4256	1.4692	-0.0007	-0.0009	0.0011	0.0000
0.1306	0.0000	0.0000	-1.9501	1.4256	1.4689	0.0018	-0.0006	0.0019	0.0000
0.1407	0.0000	0.0000	-1.9501	1.4256	1.4692	0.0017	-0.0022	0.0027	0.0000
0.1507	0.0000	0.0000	-1.9501	1.4256	1.4694	-0.0006	-0.0003	0.0007	0.0000
0.1611	0.0000	0.0000	-1.9501	1.4256	1.4690	-0.0045	0.0014	0.0047	0.0000
0.1707	0.0000	0.0000	-1.9501	1.4256	1.4685	0.0036	0.0003	0.0036	0.0000
0.1814	0.0000	0.0000	-1.9501	1.4256	1.4691	-0.0002	0.0019	0.0019	0.0000
0.1907	0.0000	0.0000	-1.9501	1.4256	1.4691	-0.0002	0.0019	0.0019	0.0000
0.2007	0.0000	0.0000	-1.9501	1.4256	1.4693	0.0014	-0.0008	0.0016	0.0000
