T (s)	Lin	Ang	X	Y	yaw	dx	dy	v	wz
0.0001	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0129	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
0.0204	0.0000	0.0000	0.0000	0.0000	0.0000	0.0001	-0.0003	0.0003	0.0000
0.0303	0.0000	0.0000	-2.1341	-0.1037	-1.0157	0.0016	-0.0062	0.0064	0.0000
0.0403	0.0000	0.0000	-2.1341	-0.1037	-1.0157	-0.0016	-0.0007	0.0018	0.0000
0.0508	0.0000	0.0000	-2.1341	-0.1036	-1.0165	0.0008	0.0052	0.0053	0.0000
0.0604	0.0000	0.0000	-2.1341	-0.1036	-1.0162	0.0029	0.0013	0.0031	0.0000
0.0703	0.0000	0.0000	-2.1341	-0.1037	-1.0156	0.0016	-0.0047	0.0049	0.0000
0.0803	0.0000	0.0000	-2.1341	-0.1036	-1.0164	-0.0030	0.0039	0.0049	0.0000
0.0903	0.0000	0.0000	-2.1341	-0.1036	-1.0164	-0.0030	0.0039	0.0049	0.0000
0.1003	0.0000	0.0000	-2.1341	-0.1036	-1.0163	0.0006	0.0057	0.0058	0.0000
0.1103	0.0000	0.0000	-2.1341	-0.1036	-1.0164	0.0004	0.0005	0.0007	0.0000
0.1205	0.0000	0.0000	-2.1341	-0.1036	-1.0164	0.0011	0.0029	0.0030	0.0000
0.1303	0.0000	0.0000	-2.1342	-0.1036	-1.0161	-0.0026	-0.0004	0.0026	0.0000
0.1406	0.0000	0.0000	-2.1342	-0.1036	-1.0162	-0.0001	-0.0013	0.0013	0.0000
0.1503	0.0000	0.0000	-2.1341	-0.1036	-1.0164	0.0022	0.0002	0.0022	0.0000
0.1603	0.0000	0.0000	-2.1341	-0.1037	-1.0157	0.0027	-0.0054	0.0060	0.0000
0.1703	0.0000	0.0000	-2.1341	-0.1037	-1.0156	0.0012	-0.0010	0.0015	0.0000
0.1803	0.0000	0.0000	-2.1341	-0.1036	-1.0165	0.0009	0.0054	0.0055	0.0000
0.1903	0.0000	0.0000	-2.1341	-0.1036	-1.0164	-0.0030	-0.0024	0.0038	0.0000
0.2003	0.0000	0.0000	-2.1341	-0.1036	-1.0164	-0.0031	0.0018	0.0036	0.0000
0.2103	0.0000	0.0000	-2.1342	-0.1037	-1.0157	-0.0019	-0.0033	0.0038	0.0000
0.2203	0.0000	0.0000	-2.1342	-0.1036	-1.0163	-0.0008	0.0083	0.0084	0.0000
0.2303	0.0000	0.0000	-2.1341	-0.1036	-1.0161	0.0029	-0.0018	0.0034	0.0000
0.2403	0.0000	0.0000	-2.1341	-0.1036	-1.0163	0.0026	-0.0033	0.0042	0.0000
0.2503	0.0000	0.0000	-2.1341	-0.1036	-1.0164	-0.0001	-0.0016	0.0016	0.0000
0.2603	0.0000	0.0000	-2.1342	-0.1037	-1.0165	-0.0029	-0.0018	0.0034	0.0000
0.2703	0.0000	0.0000	-2.1341	-0.1036	-1.0163	0.0010	0.0043	0.0044	0.0000
0.2803	0.0000	0.0000	-2.1341	-0.1036	-1.0156	0.0015	-0.0017	0.0023	0.0000
0.2903	0.0000	0.0000	-2.1341	-0.1036	-1.0162	0.0005	0.0027	0.0028	0.0000
0.3003	0.0000	0.0000	-2.1341	-0.1037	-1.0152	0.0002	-0.0053	0.0053	0.0000
0.3104	0.0000	0.0000	-2.1341	-0.1036	-1.0163	-0.0020	0.0034	0.0040	0.0000
0.3204	0.0000	0.0000	-2.1342	-0.1036	-1.0163	-0.0020	0.0006	0.0021	0.0000
0.3303	0.0000	0.0000	-2.1342	-0.1036	-1.0166	-0.0008	-0.0009	0.0012	0.0000
0.3403	0.0000	0.0000	-2.1342	-0.1037	-1.0158	0.0008	-0.0030	0.0031	0.0000
0.3503	0.0000	0.0000	-2.1342	-0.1036	-1.0164	0.0006	0.0046	0.0047	0.0000
0.3605	0.0000	0.0000	-2.1341	-0.1036	-1.0164	0.0024	0.0011	0.0027	0.0000
0.3707	0.0000	0.0000	-2.1341	-0.1036	-1.0163	0.0007	-0.0019	0.0021	0.0000
0.3803	0.0000	0.0000	-2.1341	-0.1036	-1.0164	-0.0002	0.0003	0.0004	0.0000
