T (s)	X	Y
0.0000	-2.1250	-1.0000
1.0000	-2.1250	1.0000
2.0000	-0.6250	1.0000
3.0000	-0.3750	0.7500
4.0000	-0.3750	0.0000
5.0000	-0.5000	-0.1250
6.0000	-0.1250	-0.5000
7.0000	-0.1250	-0.5000
8.0000	0.1250	-0.2500
9.0000	0.1250	1.0000
10.0000	0.6250	1.0000
11.0000	0.6250	-0.2500
12.0000	0.8750	-0.5000
13.0000	1.3750	-0.5000
14.0000	1.6250	-0.2500
15.0000	1.6250	1.0000
16.0000	2.1250	1.0000
17.0000	2.1250	-0.7500
18.0000	1.8750	-1.0000
19.0000	-0.6250	-1.0000
20.0000	-1.3750	-0.2500
21.0000	-1.6250	-0.2500
22.0000	-1.6250	-1.0000
23.0000	-2.1250	-1.0000
