T (s)	X	Y
0.0000	-1.8750	-0.7500
1.0000	-1.8750	0.7500
2.0000	-0.8750	0.7500
3.0000	-0.6250	0.5000
4.0000	-0.6250	0.2500
5.0000	-1.0000	-0.1250
6.0000	-0.3750	-0.7500
7.0000	0.1250	-0.7500
8.0000	0.3750	-0.5000
9.0000	0.3750	0.7500
10.0000	0.3750	0.7500
11.0000	0.3750	-0.5000
12.0000	0.6250	-0.7500
13.0000	1.6250	-0.7500
14.0000	1.8750	-0.5000
15.0000	1.8750	0.7500
16.0000	1.8750	0.7500
17.0000	1.8750	-0.5000
18.0000	1.6250	-0.7500
19.0000	-0.3750	-0.7500
20.0000	-1.1250	0.0000
21.0000	-1.8750	0.0000
22.0000	-1.8750	-0.7500
23.0000	-1.8750	-0.7500
