T (s)	X	Y
0.0000	-2.0000	-0.8750
1.0000	-2.0000	0.8750
2.0000	-0.7500	0.8750
3.0000	-0.5000	0.6250
4.0000	-0.5000	0.1250
5.0000	-0.7500	-0.1250
6.0000	-0.2500	-0.6250
7.0000	0.0000	-0.6250
8.0000	0.2500	-0.3750
9.0000	0.2500	0.8750
10.0000	0.5000	0.8750
11.0000	0.5000	-0.3750
12.0000	0.7500	-0.6250
13.0000	1.5000	-0.6250
14.0000	1.7500	-0.3750
15.0000	1.7500	0.8750
16.0000	2.0000	0.8750
17.0000	2.0000	-0.6250
18.0000	1.7500	-0.8750
19.0000	-0.5000	-0.8750
20.0000	-1.2500	-0.1250
21.0000	-1.7500	-0.1250
22.0000	-1.7500	-0.8750
23.0000	-2.0000	-0.8750
